method,variant,cohort,role,budget_million_env_steps,unit,n,comparator,mean_effect,median_effect,positive_units,minimum_effect,maximum_effect,performance_verdict,historical_status,evidence
Original DRTP,adaptive topology sampler,formal_2301_2305,A-line formal evidence,10.0,training_seed,5,UTR,54.99944646562757,32.999967665106084,5,17.010779782642615,103.78257694281312,PERFORMANCE_SUCCESS,FORMAL_CONFIRMATION_PASS_SEED_SENSITIVE,D:/File/Downloads/drtp_utr_q2_paired_5seed_cloud_10way.tar.gz::.../DRTP_UTR_Q2_FORMAL_DECISION.json
Original DRTP,adaptive topology sampler,independent_2401_2405,independent cross-tape reliability evidence,10.0,training_seed,5,UTR,-35.37,-39.76,2,-115.95,42.87,NO_CLEAR_PERFORMANCE_VALUE,COHORT_DIRECTION_PERSISTS_ACROSS_TAPES,results/analysis/drtp_cross_tape_reliability/DRTP_CROSS_TAPE_RELIABILITY_REPORT.md
S1 TR,bounded sampler-step trust region,development_2901_2903,stabilization pilot,0.5,training_seed,3,Original DRTP,9.028773333333334,11.869361,2,-3.407505,18.624464,PERFORMANCE_SUCCESS,S1_NO_GO,D:/File/Downloads/drtp_stabilization_s1_05m_results.tar.gz::.../S1_05M_GATE_REPORT.md
S2 Conservative,TR plus 0.20 uniform anchor,development_2901_2903,stabilization pilot,0.5,training_seed,3,Original DRTP,8.581204333333334,9.18527,3,1.136643,15.4217,PERFORMANCE_SUCCESS,S2_NO_GO / STABILIZATION_LINE_CLOSED,D:/File/Downloads/drtp_stabilization_s2_05m_results.tar.gz::.../S2_05M_GATE_REPORT.md
Conservative-DRTP R1,S2-style conservative sampler replication,replication_3001_3005,independent replication,1.0,training_seed,5,Original DRTP,-10.140668799999998,-9.420753,2,-57.522648,22.990141,NO_CLEAR_PERFORMANCE_VALUE,R1_NO_GO,D:/File/Downloads/drtp_stable_r1_1m_results.tar.gz::.../R1_GATE_REPORT.md
KLR,post-step actor rollback on KL alarm,pilot_3101_3103,development pilot,0.5,training_seed,3,Original DRTP,23.251500000000004,31.4469,2,-18.7854,57.093,PERFORMANCE_SUCCESS,PILOT_NO_GO,D:/File/Downloads/drtp_stable_v2_pilot_05m_results.tar.gz::.../PILOT_GATE_REPORT.md
KLR,post-step actor rollback on KL alarm,final_A_3701_3705,final replication cohort A,0.5,training_seed,5,Original DRTP,-0.8711998000000001,-5.199736,2,-23.495636,29.231019,NO_CLEAR_PERFORMANCE_VALUE,KLR_FINAL_REPLICATION_NO_GO_PERMANENTLY_CLOSED,D:/File/Downloads/drtp_klr_final_replication_p3_05m_results.tar.gz::.../KLR_FINAL_GATE_REPORT.md
KLR,post-step actor rollback on KL alarm,final_B_3706_3710,final replication cohort B,0.5,training_seed,5,Original DRTP,15.988671400000001,4.017692,3,-25.376724,58.608917,PERFORMANCE_SUCCESS,KLR_FINAL_REPLICATION_NO_GO_PERMANENTLY_CLOSED,D:/File/Downloads/drtp_klr_final_replication_p3_05m_results.tar.gz::.../KLR_FINAL_GATE_REPORT.md
KLB,gentler KL actor-update guard,pilot_3201_3203,development pilot,0.5,training_seed,3,Original DRTP,-11.264217,-9.822373,0,-23.473278,-0.497,NO_CLEAR_PERFORMANCE_VALUE,D5_PILOT_NO_GO,D:/File/Downloads/drtp_stable_v2_d5_pilot_05m_results.tar.gz::.../D5_GATE_REPORT.md
PP-DRTP,paired-probe sampler diagnosis,P3_3401_3403,development pilot,0.5,training_seed,3,Original DRTP,38.202000000000005,10.788,3,8.912,94.906,PERFORMANCE_SUCCESS,PP_PILOT_NO_GO,D:/File/Downloads/pp_drtp_p3_pilot_05m_results.tar.gz::.../P3_GATE_REPORT.md
