experiment_id,intervention,decision,n_independent_seeds,original_mean_gain,candidate_mean_gain,original_worst_gain,candidate_worst_gain,original_range,candidate_range,interpretation
B3_TELEMETRY,none; observational telemetry,MECHANISM_HYPOTHESIS_NO_GO,0,,,,,,,No 2/3 replicated sampler-to-exposure-to-behavior-to-outcome chain.
H2_CONFIRMATION,none; independent signature test,H2_NO_GO,0,,,,,,,Zero of five clean seeds reproduced the complete frozen early-failure signature.
S1_TR,L1 trust region on q update,S1_NO_GO,3,-3.8702092394785765,5.156666666666667,-18.019564155261037,-21.38,42.40314386628859,57.629999999999995,Sampler step limiting preserved the upper tail but did not protect the worst seed.
S2_ANCHOR,L1 trust region plus 20% uniform anchor,S2_NO_GO / STABILIZATION_LINE_CLOSED,3,-3.8702092394785765,4.710995527232299,-18.019564155261037,-8.834294083254647,42.40314386628859,34.354517391828125,Removed the frozen catastrophic labels in this cohort but failed the preregistered reliability gate.
R1_CONSERVATIVE,frozen trust region plus uniform anchor,R1_NO_GO,5,3.159866353807858,-6.98080240761349,-68.89361682115239,-78.3143700613,104.24757934822469,136.65847374981269,Independent five-seed replication reversed the apparent S2 protection and increased dispersion.
D3_KLR,post-step actor rollback on KL violation,PILOT_NO_GO,3,9.813333333333333,33.06666666666666,-24.16,28.45,71.39,9.360000000000003,"Lower tail improved, but the high-yield seed lost fault-condition performance; the intervention preceded q divergence."
D5_KLB,bounded KL backtracking,D5_PILOT_NO_GO,3,-31.293333333333333,-42.556666666666665,-46.16,-49.67,38.29,18.330000000000002,A gentler actor-update guard did not rescue any seed and worsened safety.
P3_PP,training-only paired probe for sampler evidence,PP_PILOT_NO_GO,3,-27.83,10.373333333333333,-72.77,-1.83,72.78999999999999,23.97,Strong pilot rescue did not establish upper-tail retention because the cohort lacked a strong original upper tail.
P4_PP,independent paired-probe validation,P4_NO_GO,5,13.598,5.489999999999999,-11.42,-35.7,46.38,68.28,"Independent validation reversed the pilot: two catastrophic candidates, worse dispersion, and upper-tail loss."
B4_SELECTOR,zero-training maximin checkpoint selection,PR_FEASIBILITY_NO_GO,0,,,,,,,The selector predicted absolute outcome but did not reliably preserve paired advantage over UTR.
