true_intent,pred_intent,count
straight,straight,0
straight,escape_nearest,278
straight,turn_left,0
straight,turn_right,0
straight,unknown,0
escape_nearest,straight,0
escape_nearest,escape_nearest,3636
escape_nearest,turn_left,0
escape_nearest,turn_right,0
escape_nearest,unknown,0
turn_left,straight,0
turn_left,escape_nearest,1076
turn_left,turn_left,0
turn_left,turn_right,0
turn_left,unknown,0
turn_right,straight,0
turn_right,escape_nearest,1101
turn_right,turn_left,0
turn_right,turn_right,0
turn_right,unknown,0
unknown,straight,0
unknown,escape_nearest,100
unknown,turn_left,0
unknown,turn_right,0
unknown,unknown,0
